date,ticker,region,sector,cap_group,close,log_return,rv_lag,sigma_t,rv_5,rv_60,har_daily,har_weekly,har_monthly,beta,vix_proxy,vix_beta_adj,rf_rate,r_lag1,S_lag1,sentiment,sentiment_flag,sent_lag1,sent_ma5,regime,bsm_naive,bsm_oracle
2018-02-01,PG,US,Consumer_Staples,large,68.97521209716797,-0.005691614473740789,0.15208697063089713,0.1525879036531577,0.0778866832704652,,0.11175342938664996,0.0778866832704652,,,13.470000267028809,,0.0278,0.027200000000000002,69.36891174316406,,1,,,Low_Vol,2.650184284377576e-26,3.827478664983121e-26
2018-02-02,PG,US,Consumer_Staples,large,67.68971252441406,-0.018812983516459724,0.1525879036531577,0.15909793413207568,0.06490533753505043,,0.09035157873584336,0.06490533753505043,,,17.309999465942383,,0.028399999999999998,0.0278,68.97521209716797,,1,,,Low_Vol,9.737058045883338e-27,9.481899153602789e-25
2018-02-05,PG,US,Consumer_Staples,large,65.12674713134766,-0.038598884501856126,0.15909793413207568,0.20080980606794688,0.11464492581822618,,0.2986468548222591,0.11464492581822618,0.15565643132549534,,37.31999969482422,,0.0277,0.028399999999999998,67.68971252441406,,1,,,Low_Vol,1.2851979164353004e-26,2.2560853626513055e-17
2018-02-06,PG,US,Consumer_Staples,large,66.18729400634766,0.016153184016094634,0.20080980606794688,0.21199663444627126,0.24741307091978829,,0.6127382956584994,0.24741307091978829,0.19659872182962265,,29.979999542236328,,0.0279,0.0277,65.12674713134766,,1,,,High_Vol,5.88890309877164e-20,4.436988298760103e-18
2018-02-07,PG,US,Consumer_Staples,large,65.75341796875,-0.006576857060200093,0.21199663444627126,0.21190295490549593,0.3178565148790614,,0.2564238467306998,0.3178565148790614,0.2053415016283669,,27.729999542236328,,0.028399999999999998,0.0279,66.18729400634766,,1,,,High_Vol,4.366992239913762e-17,4.231661693038453e-17
2018-02-08,PG,US,Consumer_Staples,large,64.45187377929688,-0.01999285168043629,0.21190295490549593,0.2185247315130027,0.3182181447401899,,0.10440436913825284,0.3182181447401899,0.20471783426786583,,33.459999084472656,,0.0285,0.028399999999999998,65.75341796875,,1,,,High_Vol,1.6917603525784554e-17,1.4998173159908397e-16
2018-02-09,PG,US,Consumer_Staples,large,64.2108383178711,-0.0037467847440204776,0.2185247315130027,0.21850015866740055,0.3202127272204566,,0.3173766812726053,0.3202127272204566,0.20795045693132558,,29.059999465942383,,0.028300000000000002,0.0285,64.45187377929688,,1,,,High_Vol,1.0019896494670073e-17,9.936746285800395e-18
2018-02-12,PG,US,Consumer_Staples,large,65.34367370605469,0.017488611452044906,0.21850015866740055,0.23339020238982333,0.3225140767265563,,0.05947836389261391,0.3225140767265563,0.20797599827685234,,25.610000610351562,,0.0286,0.028300000000000002,64.2108383178711,,1,,,High_Vol,5.9039564504648746e-18,6.184644689372042e-16
2018-02-13,PG,US,Consumer_Staples,large,65.48027038574219,0.0020882527319444734,0.23339020238982333,0.23096994225281217,0.2536909419096842,,0.27762310006768215,0.2536909419096842,0.22208507814592776,,24.969999313354492,,0.028300000000000002,0.0286,65.34367370605469,,1,,,High_Vol,5.082377079111071e-15,2.6425570513144953e-15
2018-02-14,PG,US,Consumer_Staples,large,64.82144165039062,-0.010112443489019657,0.23096994225281217,0.22417897937234119,0.21652153201793303,,0.03314998442025782,0.21652153201793303,0.22319007154764325,,19.260000228881836,,0.0291,0.028300000000000002,65.48027038574219,,1,,,High_Vol,3.389069699788698e-15,4.912699931640136e-16
2018-02-15,PG,US,Consumer_Staples,large,66.21141052246094,0.021216374184717172,0.22417897937234119,0.24378575370400785,0.2224513655732871,,0.16053006371484205,0.2224513655732871,0.2240110444205104,,19.1299991607666,,0.028999999999999998,0.0291,64.82144165039062,,1,,,High_Vol,1.3487011940121882e-16,2.845346930198486e-14
2018-02-16,PG,US,Consumer_Staples,large,66.36406707763672,0.0023029390564135105,0.24378575370400785,0.2393467315535967,0.21468160452124083,,0.33679949889151434,0.21468160452124083,0.23759158891705093,,19.459999084472656,,0.0287,0.028999999999999998,66.21141052246094,,1,,,High_Vol,2.831151266875055e-13,1.0230298455189617e-13
2018-02-20,PG,US,Consumer_Staples,large,65.35173034667969,-0.015371833670748096,0.2393467315535967,0.23624474799976455,0.20241189083091418,,0.036558024166847385,0.20241189083091418,0.2330327260977637,,20.600000381469727,,0.0288,0.0287,66.36406707763672,,1,,,High_Vol,1.3139576802766474e-13,6.281035106948032e-14
2018-02-21,PG,US,Consumer_Staples,large,64.46794891357422,-0.013615733633816421,0.23624474799976455,0.2187790349274006,0.22426789363525437,,0.24402029452709156,0.22426789363525437,0.23608387109517945,,20.020000457763672,,0.0294,0.0288,65.35173034667969,,1,,,High_Vol,1.0896215619903247e-14,7.205742766828523e-17
2018-02-22,PG,US,Consumer_Staples,large,64.94999694824219,0.007449511900939234,0.2187790349274006,0.22292059300940278,0.24216162682077272,,0.21614307067665622,0.24216162682077272,0.23208968619050357,,18.719999313354492,,0.0292,0.0294,64.46794891357422,,1,,,High_Vol,1.1417852270236657e-17,4.4491622271960983e-17
2018-02-23,PG,US,Consumer_Staples,large,65.11871337890625,0.0025942676738264364,0.22292059300940278,0.22370124393995197,0.24229170476353679,,0.1182573352722075,0.24229170476353679,0.2309912113915824,,16.489999771118164,,0.0288,0.0292,64.94999694824219,,1,,,High_Vol,1.1839204889573156e-16,1.5073993779982017e-16
2018-02-26,PG,US,Consumer_Staples,large,65.584716796875,0.007130729345435265,0.22370124393995197,0.22705696727725438,0.1653211835287057,,0.04118272259567268,0.1653211835287057,0.21384770732361325,,15.800000190734863,,0.0286,0.0288,65.11871337890625,,1,,,High_Vol,2.1008729739385908e-16,5.719138474027594e-16
2018-02-27,PG,US,Consumer_Staples,large,64.70896911621094,-0.01344287503392449,0.22705696727725438,0.22867860490050582,0.1786930526217936,,0.11319681908719262,0.1786930526217936,0.21671162282704623,,18.59000015258789,,0.028999999999999998,0.0286,65.584716796875,,1,,,High_Vol,1.3900386684065785e-15,2.1942841960739906e-15
2018-02-28,PG,US,Consumer_Staples,large,63.08604049682617,-0.02540030130258498,0.22867860490050582,0.24025950929754056,0.17016716439266222,,0.21339902547289905,0.17016716439266222,0.21873460038774764,,19.850000381469727,,0.0287,0.028999999999999998,64.70896911621094,,1,,,High_Vol,4.1699754751107987e-16,9.779212061684076e-15
2018-03-01,PG,US,Consumer_Staples,large,63.23063659667969,0.0022894231599259007,0.24025950929754056,0.24153874272794015,0.2307343089190451,,0.4032172828364991,0.2307343089190451,0.2301347816581457,,22.469999313354492,,0.0281,0.0287,63.08604049682617,,1,,,High_Vol,5.060670655354185e-16,7.195716726500099e-16
