date,S,vix,r,sentiment
2018-01-02,85.90126037597656,9.770000457763672,2.46,
2018-01-03,85.98877716064453,9.149999618530273,2.44,0.061155249999999994
2018-01-04,87.22061920166016,9.220000267028809,2.46,
2018-01-05,86.66072082519531,9.220000267028809,2.47,
2018-01-08,86.78870391845703,9.520000457763672,2.49,
2018-01-09,87.22864532470703,10.079999923706055,2.55,0.09335066666666665
2018-01-10,88.18851470947266,9.819999694824219,2.55,0.164558
2018-01-11,88.66044616699219,9.880000114440918,2.54,0.063584
2018-01-12,90.124267578125,10.15999984741211,2.55,0.39145
2018-01-16,89.80428314208984,11.65999984741211,2.54,-0.12165799999999999
2018-01-17,90.38024139404297,11.90999984741211,2.57,-0.079992
2018-01-18,90.59619903564453,12.220000267028809,2.62,0.137048
2018-01-19,90.396240234375,11.270000457763672,2.64,0.127889
2018-01-22,91.45210266113281,11.029999732971191,2.66,
2018-01-23,91.35610961914062,11.100000381469727,2.63,0.4239375
2018-01-24,92.5239486694336,11.470000267028809,2.65,
2018-01-25,92.54795837402344,11.579999923706055,2.63,
2018-01-26,93.04389953613281,11.079999923706055,2.66,0.051025
2018-01-29,92.94788360595703,13.84000015258789,2.7,0.06175033333333333
2018-01-30,92.07601165771484,14.789999961853027,2.73,0.013964124999999999
2018-01-31,92.5239486694336,13.539999961853027,2.72,
2018-02-01,93.48382568359375,13.470000267028809,2.78,0.049578
2018-02-02,91.41209411621094,17.309999465942383,2.84,
2018-02-05,87.02867126464844,37.31999969482422,2.77,0.159863
2018-02-06,89.67634582519531,29.979999542236328,2.79,-0.241822
2018-02-07,90.28426361083984,27.729999542236328,2.84,0.187647
2018-02-08,86.29276275634766,33.459999084472656,2.85,0.023185
2018-02-09,88.0205307006836,29.059999465942383,2.83,
2018-02-12,89.38035583496094,25.610000610351562,2.86,0.00625
2018-02-13,89.93228912353516,24.969999313354492,2.83,
2018-02-14,92.01202392578125,19.260000228881836,2.91,0.161453
2018-02-15,92.39598846435547,19.1299991607666,2.9,
2018-02-16,91.73204803466797,19.459999084472656,2.87,
2018-02-20,91.75605773925781,20.600000381469727,2.88,
2018-02-21,92.1400146484375,20.020000457763672,2.94,0.279158
2018-02-22,91.9720230102539,18.719999313354492,2.92,
2018-02-23,93.83577728271484,16.489999771118164,2.88,0.029771
2018-02-26,95.00361633300781,15.800000190734863,2.86,
2018-02-27,93.87577056884766,18.59000015258789,2.9,
2018-02-28,92.38797760009766,19.850000381469727,2.87,
2018-03-01,90.73219299316406,22.469999313354492,2.81,0.265636
