kappa,theta,xi,rho,feller,val_RMSE,val_R2
4.0,0.04,0.5,-0.9,0.07,1.0605,0.8372
4.0,0.06,0.5,-0.7,0.23,1.0605,0.8372
4.0,0.06,0.5,-0.9,0.23,1.0605,0.8372
4.0,0.04,0.5,-0.7,0.07,1.0605,0.8372
4.0,0.02,0.2,-0.9,0.12,1.0606,0.8372
4.0,0.02,0.2,-0.7,0.12,1.0606,0.8372
4.0,0.02,0.2,-0.5,0.12,1.0606,0.8372
4.0,0.02,0.2,-0.3,0.12,1.0606,0.8372
4.0,0.04,0.2,-0.9,0.28,1.0606,0.8372
4.0,0.04,0.2,-0.7,0.28,1.0606,0.8372
4.0,0.04,0.2,-0.5,0.28,1.0606,0.8372
0.5,0.06,0.2,-0.9,0.02,1.0606,0.8372
2.0,0.06,0.2,-0.3,0.2,1.0606,0.8372
4.0,0.04,0.5,-0.5,0.07,1.0606,0.8372
4.0,0.04,0.5,-0.3,0.07,1.0606,0.8372
4.0,0.06,0.2,-0.9,0.44,1.0606,0.8372
4.0,0.06,0.2,-0.7,0.44,1.0606,0.8372
4.0,0.06,0.2,-0.5,0.44,1.0606,0.8372
4.0,0.06,0.2,-0.3,0.44,1.0606,0.8372
4.0,0.04,0.2,-0.3,0.28,1.0606,0.8372
2.0,0.06,0.2,-0.5,0.2,1.0606,0.8372
2.0,0.06,0.2,-0.7,0.2,1.0606,0.8372
2.0,0.06,0.2,-0.9,0.2,1.0606,0.8372
0.5,0.06,0.2,-0.7,0.02,1.0606,0.8372
0.5,0.06,0.2,-0.5,0.02,1.0606,0.8372
0.5,0.06,0.2,-0.3,0.02,1.0606,0.8372
1.0,0.04,0.2,-0.9,0.04,1.0606,0.8372
1.0,0.04,0.2,-0.7,0.04,1.0606,0.8372
1.0,0.04,0.2,-0.5,0.04,1.0606,0.8372
1.0,0.04,0.2,-0.3,0.04,1.0606,0.8372
1.0,0.06,0.2,-0.9,0.08,1.0606,0.8372
1.0,0.06,0.2,-0.7,0.08,1.0606,0.8372
1.0,0.06,0.2,-0.5,0.08,1.0606,0.8372
1.0,0.06,0.2,-0.3,0.08,1.0606,0.8372
2.0,0.02,0.2,-0.9,0.04,1.0606,0.8372
2.0,0.02,0.2,-0.7,0.04,1.0606,0.8372
2.0,0.02,0.2,-0.5,0.04,1.0606,0.8372
2.0,0.02,0.2,-0.3,0.04,1.0606,0.8372
2.0,0.04,0.2,-0.9,0.12,1.0606,0.8372
2.0,0.04,0.2,-0.7,0.12,1.0606,0.8372
2.0,0.04,0.2,-0.5,0.12,1.0606,0.8372
2.0,0.04,0.2,-0.3,0.12,1.0606,0.8372
4.0,0.06,0.5,-0.5,0.23,1.0606,0.8372
4.0,0.06,0.5,-0.3,0.23,1.0606,0.8372
