Rolling_Window,Model,RMSE,R2,Directional_Acc
5,Linear Regression,0.11786855089185412,-0.40426214831680984,0.40540540540540543
5,Random Forest,0.10285056994714842,-0.06921663407764167,0.4594594594594595
5,XGBoost,0.11198910659058435,-0.2676631363482165,0.40540540540540543
10,Linear Regression,0.05124391979684036,0.511518127678432,0.53125
10,Random Forest,0.05451817283795954,0.4471003051109763,0.53125
10,XGBoost,0.06710588210225356,0.16230688689603423,0.46875
20,Linear Regression,0.024235653014592077,0.8061612638831771,0.56
20,Random Forest,0.03365201051280188,0.6262741406154166,0.44
20,XGBoost,0.03494932324427774,0.5969038423498358,0.48
60,Linear Regression,0.007905603339404375,0.7950564683314055,0.7272727272727273
60,Random Forest,0.011059451081232453,0.5989197104337507,0.5454545454545454
60,XGBoost,0.010055064659631486,0.6684615434872059,1.0
