beta,rho,nu,val_RMSE,val_R2
1.0,0.0,0.2,0.193,0.9946
1.0,0.0,0.4,0.1939,0.9946
1.0,0.0,0.6,0.1954,0.9945
1.0,-0.3,0.2,0.1965,0.9944
1.0,0.0,0.8,0.1976,0.9943
1.0,-0.5,0.2,0.1988,0.9943
1.0,-0.3,0.4,0.2009,0.9942
1.0,-0.5,0.4,0.2058,0.9939
1.0,-0.3,0.6,0.2062,0.9938
1.0,-0.3,0.8,0.2126,0.9935
1.0,-0.5,0.6,0.2139,0.9934
1.0,-0.5,0.8,0.2233,0.9928
0.5,0.0,0.8,1.0261,0.8476
0.5,0.0,0.6,1.0264,0.8475
0.5,0.0,0.4,1.0266,0.8474
0.5,0.0,0.2,1.0267,0.8474
0.5,-0.3,0.2,1.027,0.8473
0.5,-0.3,0.8,1.0271,0.8473
0.5,-0.3,0.4,1.0271,0.8473
0.5,-0.5,0.2,1.0271,0.8473
0.5,-0.3,0.6,1.0271,0.8473
0.5,-0.5,0.4,1.0274,0.8472
0.5,-0.5,0.6,1.0277,0.8471
0.5,-0.5,0.8,1.0278,0.8471
0.0,-0.5,0.4,1.0596,0.8375
0.0,-0.5,0.6,1.0596,0.8375
0.0,-0.5,0.8,1.0596,0.8375
0.0,-0.3,0.4,1.0596,0.8374
0.0,-0.3,0.8,1.0596,0.8375
0.0,-0.3,0.6,1.0596,0.8375
0.0,0.0,0.2,1.0597,0.8374
0.0,-0.3,0.2,1.0597,0.8374
0.0,0.0,0.4,1.0597,0.8374
0.0,0.0,0.6,1.0597,0.8374
0.0,0.0,0.8,1.0597,0.8374
0.0,-0.5,0.2,1.0597,0.8374
